Scan Axis	Amplitude	Phase	
75.00	-63.751	-45.022	
76.50	-63.990	-42.529	
78.00	-64.294	-40.357	
79.50	-64.507	-39.780	
81.00	-64.710	-39.292	
82.50	-64.881	-37.572	
84.00	-65.095	-36.220	
85.50	-65.192	-34.039	
87.00	-65.575	-32.475	
88.50	-65.872	-30.961	
90.00	-66.003	-32.508	
91.50	-66.061	-31.534	
93.00	-66.042	-31.525	
94.50	-66.223	-31.132	
96.00	-66.324	-28.953	
97.50	-66.592	-26.078	
99.00	-66.822	-23.625	
100.50	-67.379	-21.523	
102.00	-67.672	-20.203	
103.50	-67.768	-18.575	
105.00	-67.958	-18.164	
106.50	-68.009	-17.621	
108.00	-68.256	-15.990	
109.50	-68.700	-14.159	
111.00	-69.266	-11.300	
112.50	-69.585	-10.548	
114.00	-70.359	-8.837	
115.50	-70.939	-8.566	
117.00	-71.233	-9.576	
118.50	-70.879	-10.992	
120.00	-71.142	-8.668	
121.50	-70.967	-5.968	
123.00	-70.832	-2.012	
124.50	-71.061	2.242	
126.00	-71.277	6.586	
127.50	-71.897	9.300	
129.00	-72.394	10.664	
130.50	-72.838	11.395	
132.00	-72.974	14.493	
133.50	-72.496	13.417	
135.00	-72.609	18.223	
136.50	-72.994	22.712	
138.00	-73.456	21.247	
139.50	-73.588	24.297	
141.00	-73.855	24.393	
142.50	-74.847	18.354	
144.00	-75.923	18.147	
145.50	-76.351	14.782	
147.00	-76.320	10.922	
148.50	-75.522	10.632	
150.00	-75.148	14.616	
151.50	-74.955	14.747	
153.00	-75.573	11.556	
154.50	-76.113	9.015	
156.00	-76.927	1.685	
157.50	-77.708	0.313	
159.00	-77.761	-5.189	
160.50	-78.418	-7.613	
162.00	-77.140	-15.277	
163.50	-76.296	-17.171	
165.00	-75.938	-20.042	
166.50	-74.862	-20.572	
168.00	-74.825	-21.490	
169.50	-74.468	-21.726	
171.00	-74.767	-23.881	
172.50	-74.565	-22.784	
174.00	-74.621	-20.842	
175.50	-75.037	-22.540	
177.00	-74.865	-25.000	
178.50	-75.016	-24.553	
180.00	-75.068	-19.172	
